track_id,name,album,album_id,artist_name,artist_id,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,is_solo,Cluster_Hierarchical
6leiB1fEsTnVCuPiielde5,Something Like That,A Place In The Sun,2EkJjknrgd5DeIH2x9HLjD,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.507,0.85,5,-5.678999999999999,True,0.0472,0.3779999999999999,0.0,0.0567,0.847,171.8,183733,4.0,1,0
5u7BDyugDW7ZXkXdCxU9JC,Please Remember Me,A Place In The Sun,2EkJjknrgd5DeIH2x9HLjD,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.465,0.54,1,-7.097,True,0.0277,0.177,2.82e-06,0.106,0.2339999999999999,75.88,296333,4.0,1,0
09xkQocmS4HoHPhW7y7a03,Carry On,A Place In The Sun,2EkJjknrgd5DeIH2x9HLjD,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.433,0.772,8,-6.114,True,0.036,0.0603,0.0,0.201,0.563,207.572,202133,4.0,1,0
7AHw9SfOITU9Q7sj3V5vxV,My Next Thirty Years,A Place In The Sun,2EkJjknrgd5DeIH2x9HLjD,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.605,0.804,5,-7.521,True,0.0363,0.265,4.93e-06,0.345,0.601,98.866,217733,4.0,1,0
6atqP8BDGt0f12HkUb78co,Eyes Of A Woman,A Place In The Sun,2EkJjknrgd5DeIH2x9HLjD,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.499,0.535,2,-9.125,True,0.0277,0.317,0.0,0.195,0.3879999999999999,72.9,227467,4.0,1,0
04NKrPtQxSwFwnxefCQpJj,A Place In The Sun,A Place In The Sun,2EkJjknrgd5DeIH2x9HLjD,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,0,0.426,0.528,2,-7.599,True,0.0284,0.0684,0.0,0.0815,0.327,143.404,259000,4.0,1,0
4Shbv9t1OjvuviwyZ5qk4g,Shots Fired,Good News,7lQouCmPggSsg1972D3TiE,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,0,0.83,0.67,2,-4.9110000000000005,True,0.291,0.0005,0.0,0.0889,0.435,184.027,170871,4.0,1,0
51lknET3imwwg2J8x1XRG4,Circles,Good News,7lQouCmPggSsg1972D3TiE,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,0,0.8590000000000001,0.7709999999999999,6,-8.865,False,0.172,0.0298,0.0,0.355,0.777,111.099,170641,4.0,1,0
5Bnh2sJPeQCdpoZD4UKzsX,Cry Baby (feat. DaBaby),Good News,7lQouCmPggSsg1972D3TiE,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,0,0.955,0.436,11,-7.9,True,0.38,0.00527,0.0,0.1689999999999999,0.5589999999999999,130.041,137984,4.0,0,0
4h30gjsvh2TrEQpIBvqiac,Do It On The Tip (feat. City Girls & Hot Girl Meg),Good News,7lQouCmPggSsg1972D3TiE,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,0,0.944,0.526,4,-8.738,False,0.289,0.00281,0.0,0.0862,0.619,97.543,167370,4.0,0,0
